ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
The Strokes,Last Nite,2001,Heartbreak,http://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA
The Supremes,Where Did Our Love Go?,1964,Heartbreak,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x
The Supremes,You Keep Me Hangin’ On,1966,Heartbreak,http://open.spotify.com/track/6tLPgXlqugmn2XfNnmGoVp
Bettye Swann,(My Heart Is) Closed for the Season  ,1968,Heartbreak,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm
Take That,Back for Good,1995,Heartbreak,http://open.spotify.com/track/1cnoj3gWltCrWBZ77jZtmj
TLC,No Scrubs,1999,Heartbreak,http://open.spotify.com/track/5iJUGd5boRXsCmW00B3Mtq
U2,With Or Without You,1987,Heartbreak,http://open.spotify.com/track/2JZfTvWWtpaE8NohqRXqFr
Luther Vandross,Give Me the Reason,1986,Heartbreak,http://open.spotify.com/track/54yoy5MG6SVPB5wdneXAW7
The Velvet Underground and Nico,Femme Fatale,1967,Heartbreak,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt
Tom Waits,Ruby’s Arms,1980,Heartbreak,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW
The Walker Brothers,Make it Easy on Yourself,1965,Heartbreak,http://open.spotify.com/track/5RT0MynLRywe8D3UHJ4UNG
Dionne Warwick,Walk on By,1964,Heartbreak,http://open.spotify.com/track/6xS9VDmREYFio4BNGFImjc
Kanye West,Gold Digger,2005,Heartbreak,http://open.spotify.com/track/5sSxgpqqZEAdwfRYVze4fU
Kanye West,Say You Will ,2008,Heartbreak,http://open.spotify.com/track/57wUNWELIZOReROLzol83e
The Who,Substitute,1966,Heartbreak,http://open.spotify.com/track/6AtYt0gDIi6I38fOfkV31y
Hank Williams,"Cold, Cold Heart",1951,Heartbreak,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC
Robbie Williams,No Regrets,1998,Heartbreak,http://open.spotify.com/track/2h4Lh23FF8OQ8uGBnOdepy
Amy Winehouse,Stronger Than Me,2003,Heartbreak,http://open.spotify.com/track/5Q8nk53ZSOoCCoMHcyUj8X
Amy Winehouse,You Know I’m No Good,2006,Heartbreak,http://open.spotify.com/track/0u8ekDfiPVBsju2LBLvDvI
Bill Withers,Ain’t No Sunshine,1971,Heartbreak,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M
Bill Withers,Use Me,1972,Heartbreak,http://open.spotify.com/track/7bIC3bWre8rInwCizxLMPQ
Tammy Wynette,D-I-V-O-R-C-E,1968,Heartbreak,-
Neil Young,A Man Needs a Maid,1972,Heartbreak,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw
Ryan Adams,"New York, New York",2001,People and places,http://open.spotify.com/track/6n0uVCp7GKgS0N7yCiIjYG
Aliotta Haynes Jeremiah,Lake Shore Drive,1971,People and places,-
Bob Andy,I’ve Got to Go Back Home,1966,People and places,-
The Animals,We Gotta Get Out of This Place,1965,People and places,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY
Arctic Monkeys,A Certain Romance,2006,People and places,http://open.spotify.com/track/1sW0hSskhK2o3okrBoNd57
Roy Ayers,Chicago,1983,People and places,http://open.spotify.com/track/6mWaJR3Wz8XcujkKd48oy6
The Beach Boys,"Fun, Fun, Fun",1964,People and places,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D
The Beatles,Eleanor Rigby,1966,People and places,-
The Beatles,Doctor Robert,1966,People and places,-
The Beatles,Drive My Car,1965,People and places,-
The Beatles,Penny Lane,1967,People and places,-
The Beatles,She’s Leaving Home,1967,People and places,-
The Beatles,Strawberry Fields Forever,1967,People and places,-
Tony Bennett,I Left My Heart in San Francisco,1962,People and places,http://open.spotify.com/track/6T4wzk2iyRcdmEQUcqk1s8
Chuck Berry,"Memphis, Tennessee",1959,People and places,http://open.spotify.com/track/289AKX6diQ7eCcvJLb5pC3
Chuck Berry,No Particular Place to Go,1964,People and places,http://open.spotify.com/track/0ibuBDbT4tKNA1ugKK92AI
Chuck Berry,Johnny B Goode,1958,People and places,http://open.spotify.com/track/78gvEiVlnMd1f5adOHjJxP
Mike Berry and the Outlaws,Tribute to Buddy Holly,1961,People and places,-
"William Blake, Charles Hubert and Hastings Parry",Jerusalem,1916,People and places,-
Bobby Bland,Ain’t No Love in the Heart of the City,1974,People and places,-
Archie Bleyer,Hernando’s Hideaway,1954,People and places,http://open.spotify.com/track/5l14z1uDc6xwMohyYuhOfM
Blur,For Tomorrow,1993,People and places,http://open.spotify.com/track/6j8paOITkZ5Ybrg5osqeVk
David Bowie,Life On Mars?,1971,People and places,http://open.spotify.com/track/1EdKQ7nYYmMEsrcehcHf4Q
David Bowie,Space Oddity,1969,People and places,http://open.spotify.com/track/7IBfmCrfaR3SLVemWhsucQ
Jan Bradley,Nights in New York City,1968,People and places,-
Billy Bragg,Levi Stubbs’ Tears,1986,People and places,-
Jackie Brenston and His Delta Cats,Rocket 88,1951,People and places,http://open.spotify.com/track/2D4CW43Ewl0UZvrn9E2bo3
Anne Briggs,Blackwater Side,1971,People and places,-
Bronski Beat,Smalltown Boy,1984,People and places,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt
The Byrds,Eight Miles High,1966,People and places,http://open.spotify.com/track/3M2vp32P9xXHsVRcva9G5c
Glen Campbell,Galveston,1969,People and places,http://open.spotify.com/track/7GCNh1ibQiae8aimaEUOFq
Cab Calloway,Minnie the Moocher,1931,People and places,http://open.spotify.com/track/1Ns0szGnyIV7BLkWsrkdVu
The Cars,Drive,1984,People and places,http://open.spotify.com/track/2KjYhaRlB5NtCJ0JotvJhZ
Martin Carthy,Scarborough Fair,1965,People and places,-
Johnny Cash,I’m Free From the Chain Gang Now,2006,People and places,http://open.spotify.com/track/52HE6vtu3RydAcSDK3YuuN
Johnny Cash,Folsom Prison Blues,1955,People and places,http://open.spotify.com/track/7BuR7aWjwtMnejLYeh8FZk
Manu Chao,King of Bongo,1998,People and places,-
Ray Charles,Georgia on My Mind,1960,People and places,http://open.spotify.com/track/5pnvs9jplQQE7uxdyHhTta
Ray Charles,Lonely Avenue,1956,People and places,http://open.spotify.com/track/43mBBdRU6GfinobxcDyufp
Guy Clark,LA Freeway,1975,People and places,http://open.spotify.com/track/0FIn08OKKHVRSFJfm6QBmS
The Clash,London Calling,1979,People and places,http://open.spotify.com/track/6UxHw23oizTlIyolc4Alaz
Jimmy Cliff,Many Rivers to Cross,1969,People and places,http://open.spotify.com/track/1dr5J5vp2lomzdDPcv4CvG
The Coasters,Riot in Cell Block #9,1954,People and places,http://open.spotify.com/track/5Hl3bPQuASTEb4t3GxhlkI
Leonard Cohen,Chelsea Hotel #2,1974,People and places,http://open.spotify.com/track/48WhdGNxaxHMdRxs11ampi
Leonard Cohen,First We Take Manhattan,1988,People and places,http://open.spotify.com/track/6C7z72JkQtC08oKYLsz791
Shirley Collins,The Banks of the Sweet Primroses,1967,People and places,-
Ry Cooder,Taxes on the Farmer Feeds Us All,1972,People and places,-
Sam Cooke,Chain Gang,1960,People and places,http://open.spotify.com/track/2v3StB7FS2bUZNSWWInRN7
Bing Crosby,Brother Can You Spare a Dime?,1932,People and places,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X
Bobby Darin,Beyond the Sea,1959,People and places,http://open.spotify.com/track/1xeEkk0av46GZ4Ztq1dUEM
Bobby Darin,Mack the Knife ,1959,People and places,http://open.spotify.com/track/35hKX7JI7gvQ0oKna8895l
Desmond Dekker,007 (Shanty Town),1967,People and places,http://open.spotify.com/track/7hwvbkchjTc5JXEZ4xmQX7
Dexys Midnight Runners,Geno,1980,People and places,http://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk
Bo Diddley,Roadrunner,1960,People and places,http://open.spotify.com/track/0D98Qv08oIWYoSgVigHy9a
Dion,The Wanderer,1961,People and places,http://open.spotify.com/track/0tk8p69r1Ed2OuqiXxHdAQ
Donovan,Sunny Goodge Street,1965,People and places,http://open.spotify.com/track/0W0WuexnXG8xdSnTIHKnrQ
Doves,Black and White Town,2005,People and places,http://open.spotify.com/track/1RJxjF2aOMi1JLJ9K2PUJj
The Drifters,On Broadway,1963,People and places,http://open.spotify.com/track/1rDBmONfSiBaJJGqDH2OH5
Ian Dury,Billericay Dickie,1977,People and places,-
Bob Dylan,Ballad of a Thin Man,1965,People and places,http://open.spotify.com/track/3Xbr9UqRIgo5I9Wna9sofg
Bob Dylan,Blind Willie McTell,1991,People and places,http://open.spotify.com/track/2HT5jSAGQtNJ6nM8dhvrng
Bob Dylan,Like a Rolling Stone,1965,People and places,http://open.spotify.com/track/4hR2PmKODnlFa5fe8iWzeo
Steve Earle,The Mountain,1999,People and places,-
Elbow,Station Approach,2005,People and places,-
The Fall,Leave the Capitol,1981,People and places,-
The Flying Burrito Brothers,Sin City,1969,People and places,http://open.spotify.com/track/79eJ1pa0yAAFlloGPizz8W
Peter Gabriel,Solsbury Hill,1977,People and places,-
"The Good, the Bad and the Queen",Green Fields,2007,People and places,-
Judy Garland,Over the Rainbow,1939,People and places,http://open.spotify.com/track/1jNQ6e4Mze7QA3hPWbTv3B
Woody Guthrie,Do Re Mi,1940,People and places,http://open.spotify.com/track/2IsUkc97tIzMBQg67y3lVP
Merle Haggard,Big City,1981,People and places,http://open.spotify.com/track/2a57riblxsqxe1lV33JDTf
Tim Hardin,Tribute to Hank Williams,1967,People and places,http://open.spotify.com/track/7EIObUsjH82rWe34Alrou9
Emmylou Harris ,Boulder to Birmingham,1975,People and places,http://open.spotify.com/track/3PAnJueYX2pM8Ig0xSnkbI
Richard Hawley,Coles Corner,2005,People and places,http://open.spotify.com/track/5kGdayTmguCAZP87F56DUg
Heinz,Just Like Eddie,1963,People and places,http://open.spotify.com/track/3anKfvDNqW7dYBDEbmKzIn
The Jam,Down in the Tube Station at Midnight,1978,People and places,http://open.spotify.com/track/3pmY0mjzWegSxdMPwYZwSj
Eddie Jefferson,So What (Miles),1961,People and places,http://open.spotify.com/track/0PCrDhGtjxU660QHLUHYYc
Janis Joplin,Me and Bobby McGee,1971,People and places,http://open.spotify.com/track/6K81RptJZZaeEkqiV6kpyv
Robert Johnson,Cross Road Blues,1936,People and places,-
Louis Jordan and His Tympany Five,Choo Choo Ch’Boogie,1946,People and places,http://open.spotify.com/track/1bPpdLPZIi24zchWIGkI3H
Ben E King,Spanish Harlem,1961,People and places,http://open.spotify.com/track/3UCmuRdeTriWgOZMEJsfqZ
Nat King Cole,(Get Your Kicks On) Route 66,1946,People and places,http://open.spotify.com/track/3k0jloXIBRigk9z7TSxr48
The Kinks,Dead End Street,1966,People and places,http://open.spotify.com/track/2qYhnsUIiu31svhUA5yGZD
The Kinks,The Village Green Preservation Society,1968,People and places,-
The Kinks,Waterloo Sunset,1967,People and places,http://open.spotify.com/track/2nlvl52hnkBMoWPmWChXM8
Lord Kitchener,London is the Place For Me,1951,People and places,-
Kraftwerk,Trans-Europe Express,1977,People and places,http://open.spotify.com/track/0E4dDQtMRsh2hil3J9hTMj
Lemon Jelly,Ramblin’ Man ,2002,People and places,http://open.spotify.com/track/6gZy5D9PMscYWMM1VdvZZx
The Louvin Brothers,Kentucky,1956,People and places,http://open.spotify.com/track/15GmkMpAv2Q3txQLW2c1nZ
Lynyrd Skynyrd,Sweet Home Alabama,1974,People and places,http://open.spotify.com/track/1KZ1hkR3lxhIRW57sPaY07
The Mamas and the Papas,California Dreamin’,1965,People and places,http://open.spotify.com/track/1pxO7IS622Q8DQJ7uK7JRt
Bob Marley and the Wailers,"No Woman, No Cry",1974,People and places,http://open.spotify.com/track/2Fl520GM5Pq1yCxSruf3gj
Sam Mayo,Things Are Worse in Russia,1922,People and places,-
Don McLean,Vincent,1971,People and places,http://open.spotify.com/track/6b2rn4db84W8Ntz66LHi53
Memphis Minnie,Me and My Chauffeur Blues,1941,People and places,http://open.spotify.com/track/1BrAqEZyBw7t4Qk5LdPq7w
Mississippi John Hurt,Stack O’ Lee,1928,People and places,http://open.spotify.com/track/2s4dwHpeGqoXNUXoyXyG1O
Marilyn Monroe,Diamonds Are a Girl’s Best Friend,1953,People and places,http://open.spotify.com/track/0wxF2Ia8RldcEHSlEope7i
Van Morrison,Coney Island,1989,People and places,http://open.spotify.com/track/51uJPonFb6B4bjVXXIb6oR
Willie Nelson,On the Road Again,1980,People and places,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm
Gary Numan,Cars,1979,People and places,http://open.spotify.com/track/3CKLPDN1AIOYa7QPpy6oDH
Randy Newman,A Few Words in Defense of Our Country,2008,People and places,http://open.spotify.com/track/1IWtqdxdgO1ThXjfjXnsSU
Randy Newman,Baltimore,1977,People and places,-
Randy Newman,I Love LA,1983,People and places,-
Nilsson,I Guess the Lord Must Be in New York City,1969,People and places,http://open.spotify.com/track/6gu59Q2p1Zkx2jkMdJYO1X
Roy Orbison,Blue Bayou,1963,People and places,http://open.spotify.com/track/5GdSlf0Of1E67soyYauE1i
Roy Orbison,Domino,1956,People and places,http://open.spotify.com/track/12NYyFxVvXaa8XIZEErs2D
Pentangle,Bruton Town,1968,People and places,http://open.spotify.com/track/2pqiemaVZ6QjRYH5cPCfax
Pet Shop Boys,King’s Cross,1987,People and places,-
Pet Shop Boys,West End Girls,1985,People and places,http://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s
Wilson Pickett,Mustang Sally,1966,People and places,http://open.spotify.com/track/2AbmCE9mLpaVMyQeyvlgHN
Pink Floyd,Shine on You Crazy Diamond,1975,People and places,-
The Pogues,Dirty Old Town,1985,People and places,http://open.spotify.com/track/7IMYW63MR1U33kX7LOecPl
The Pogues,Rainy Night in Soho,1985,People and places,http://open.spotify.com/track/6vSHxP7R5Ml9zqyO2JM5v9
Elvis Presley,Heartbreak Hotel,1956,People and places,http://open.spotify.com/track/4YpAvti84hmMqJwnAYawt5
PJ Proby,Somewhere,1964,People and places,http://open.spotify.com/track/5lz5nAO1HA7nntRU5k0IzH
Pulp,Common People,1995,People and places,http://open.spotify.com/track/3gc4sAYBuZDhbFfnauPqOf
Jimmy Reed,"Bright Lights, Big City",1961,People and places,http://open.spotify.com/track/3uNEUuL8U3RqHVyhiuD6DY
Lou Reed,Berlin,1973,People and places,-
Jonathan Richman and the Modern Lovers,Roadrunner,1972,People and places,-
Jeannie C Riley ,Harper Valley PTA,1968,People and places,http://open.spotify.com/track/0nAHjZ9TJ6h4Hpy8lxlP6u
Jimmie Rodgers,T for Texas,1928,People and places,http://open.spotify.com/track/5pOTmneH4pTmhxaSLtrTM0
The Rolling Stones,Moonlight Mile,1971,People and places,http://open.spotify.com/track/19syRYigiBrdGj5HUqBjzx
The Rolling Stones,Ruby Tuesday,1967,People and places,http://open.spotify.com/track/5dv34fSvGLhCaPNjiytAva
Mitch Ryder and the Detroit Wheels,Jenny Take a Ride ,1965,People and places,http://open.spotify.com/track/5mgDZhN7E1nau6ZH2ENmUH
Bim Sherman,Chancery Lane,1978,People and places,-
Paul Simon,Graceland,1986,People and places,http://open.spotify.com/track/0aeaKHM4KCULhqKk4QZzjT
Paul Simon,The Late Great Johnny Ace,1983,People and places,http://open.spotify.com/track/5ach2WWI5RD1FOjDArNlRh
Simon and Garfunkel,Homeward Bound,1966,People and places,http://open.spotify.com/track/0MhdnZTAPZmdEWa3alX8eM
Simon and Garfunkel,Mrs Robinson,1968,People and places,http://open.spotify.com/track/6J1sj9dcEM91H80NIz1Gpo
Frank Sinatra,"New York, New York",1980,People and places,http://open.spotify.com/track/4tMPwjAb9FYZ2HHgXj24LU
Nancy Sinatra and Lee Hazlewood,Jackson,1967,People and places,http://open.spotify.com/track/56LjYK1rKum8m1L7aIdfm4
Bruce Springsteen,Born to Run,1975,People and places,http://open.spotify.com/track/3JlWTo11ustqpPS1V7Jivs
Squeeze,Up the Junction,1979,People and places,http://open.spotify.com/track/1zWLu0Glg7glW6ulCfDbeN
The Stanley Brothers,Rank Stranger,1950,People and places,http://open.spotify.com/track/1AkjPhgexQuQkeJpB3sS5E
Steppenwolf,Born to Be Wild,1968,People and places,http://open.spotify.com/track/78OcvMkLFsRp5AJsRexfPX
Thin Lizzy,The Boys Are Back in Town,1976,People and places,http://open.spotify.com/track/3w7SMX2L4Tx6GAR8cr5H5L
Toots and the Maytals,54-46 (That’s My Number),1968,People and places,http://open.spotify.com/track/0KVxbnJ6OfDj6P47KogYo7
Townes Van Zandt,Snowin’ on Raton,1987,People and places,-
The Undertones,My Perfect Cousin,1980,People and places,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj
Tom Waits,In the Neighbourhood,1983,People and places,-
Tom Waits,"Johnsburg, Illinois",1983,People and places,http://open.spotify.com/track/1Opgvak0Qc2kyLVLFbuu1V
Dionne Warwick,Do You Know the Way to San José,1968,People and places,http://open.spotify.com/track/3lVRhqxAiipuI4kPz4TF5W
Paul Weller,Wild Wood,1993,People and places,http://open.spotify.com/track/6YV6egaDLNWSxHenzsWE1y
Stevie Wonder,Living for the City,1973,People and places,http://open.spotify.com/track/1XtEFMgU5u5yHa5N4GxIbA
Stevie Wonder,Master Blaster (Jammin),1980,People and places,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW
Aaliyah,Try Again,2000,Sex,http://open.spotify.com/track/2CM7CAL7aJ5WkPU0oGbA96
Abba,Gimme! Gimme! Gimme! (A Man After Midnight),1979,Sex,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb
AC/DC,You Shook Me All Night Long,1980,Sex,-
Aerosmith,Love in an Elevator,1989,Sex,http://open.spotify.com/track/1SDr4rc6YRpaLDkJURW3sY
Lily Allen,Smile,2006,Sex,http://open.spotify.com/track/1elLIGWtTXFm5NSRHDa4w1
Arctic Monkeys,When The Sun Goes Down,2006,Sex,http://open.spotify.com/track/2iuIqCjjPKg3DYwHHAo0kJ
Au Pairs,Come Again,1981,Sex,-
The Beatles,Another Girl,1965,Sex,-
The Beatles,Norwegian Wood (This  Bird Has Flown),1965,Sex,-
Chuck Berry,My Ding-a-Ling,1972,Sex,http://open.spotify.com/track/2x54atSzwJO7zngKHdePjb
Big Star,Kangaroo,1978,Sex,-
Jane Birkin and Serge Gainsbourg,Je T’Aime ... Moi Non Plus,1969,Sex,-
Blur,Girls and Boys,1994,Sex,http://open.spotify.com/track/3Y23PZn79fu2uaefLBCJyz
Bonzo Dog Doo-Dah Band,Tent,1969,Sex,http://open.spotify.com/track/1Iv81TnJcanYzk4uyewcNi
Boys Town Gang,Cruisin’ the Streets,1981,Sex,-
James Brown,Get Up (I Feel Like Being a) Sex Machine,1970,Sex,http://open.spotify.com/track/5uCdgBAqYPWQ2HGpJVGAeD
Tim Buckley,Get On Top,1972,Sex,http://open.spotify.com/track/2OqesAvEfzM5KvBHhRlz5l
Buzzcocks,Orgasm Addict,1977,Sex,http://open.spotify.com/track/4iUvyJkurdF6iDzdY4Z4al
The Byrds,Triad,1968,Sex,http://open.spotify.com/track/3Vcbq1XGXbvwXT9wC4XJjj
Elvis Costello and the Attractions,High Fidelity ,1980,Sex,http://open.spotify.com/track/0FKPuEwGl4zunq0HKcoxQ5
Elvis Costello and the Attractions,I Want You,1986,Sex,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
CSS,Let’s Make Love and Listen to Death from Above,2006,Sex,http://open.spotify.com/track/4Cz17oLEdM9MY5BYtd0S2N
D’Angelo,Brown Sugar,1995,Sex,http://open.spotify.com/track/3tyUh8UpK0PVu00AjbP1UG
Destiny’s Child,Say My Name,1999,Sex,http://open.spotify.com/track/2gSyc23Hua25fqSFpgAh6W
Dexys Midnight Runners,Come On Eileen,1982,Sex,http://open.spotify.com/track/7L1h8TN56ynoes6aZ4kNs2
Divinyls,I Touch Myself,1991,Sex,http://open.spotify.com/track/6oNvmplQGUkmAh441Teows
Ian Dury and the Blockheads,Wake Up and Make Love With Me,1977,Sex,-
Bob Dylan,I Want You,1966,Sex,http://open.spotify.com/track/6hMr51jPiGsyI16VfO8wmO
Bob Dylan,Lay Lady Lay,1969,Sex,http://open.spotify.com/track/6wo0JCftDQbbo9nsGKLzk2
The Eagles,Lyin’ Eyes,1975,Sex,-
Elastica,Stutter,1993,Sex,http://open.spotify.com/track/6R8t6SQX1692z5S112XMkJ
Elastica,Vaseline,1995,Sex,http://open.spotify.com/track/3CFreeQN3KprsAO9Io0MpP
Eurythmics,Who’s That Girl?,1983,Sex,http://open.spotify.com/track/0qO7FkKWdHPc1Si1Z2nLZm
The Faces,Stay With Me,1971,Sex,http://open.spotify.com/track/6qpWQy2fQy7X0jJTg7UoiO
The Flirts,Passion,1982,Sex,-
Frankie Goes to Hollywood,Relax,1983,Sex,-
Peter Gabriel,Sledgehammer,1986,Sex,-
Marvin Gaye,Let’s Get It On,1973,Sex,http://open.spotify.com/track/5qAV9Xmezj2Fb2cUkZCKqS
Marvin Gaye,Sexual Healing,1982,Sex,http://open.spotify.com/track/6PctvwtmRSIwmTc4HtBzJT
Bobbie Gentry,Fancy,1969,Sex,http://open.spotify.com/track/6aarvZBVzYo3sp4NYOBqCp
Grinderman,No Pussy Blues,2007,Sex,http://open.spotify.com/track/7hdfYPz4MaEcAH97E0S6vW
Happy Mondays,Bob’s Yer Uncle,1990,Sex,http://open.spotify.com/track/7p9Dw7RS1uTJubzRGRGHLV
The Hidden Cameras,The Man That I Am With My Man,2003,Sex,http://open.spotify.com/track/4O1lOLB77K8jOilQOYnULt
Hot Chocolate,You Sexy Thing,1975,Sex,http://open.spotify.com/track/3FJ86KB6nSQ1vTJbupZmmv
Whitney Houston,Saving All My Love for You,1985,Sex,http://open.spotify.com/track/0659KEGBXXfDy2pbCtZ9Wd
The Isley Brothers,Between the Sheets,1983,Sex,http://open.spotify.com/track/0RBg0YkVr7B6PGgK13PUhw
Millie Jackson,Summer (The First Time),1974,Sex,-
Wanda Jackson,Fujiyama Mama,1957,Sex,http://open.spotify.com/track/56xQ4YLqsIZ4Kc6R3WEHAx
Etta James,I Just Want to Make Love to You,1961,Sex,http://open.spotify.com/track/7A96l8P8UmFPhdu7pQ8SMe
Rick James,Super Freak,1981,Sex,http://open.spotify.com/track/00FCfK15gIqylm8xeO4pjx
Tommy James and the Shondells,Crimson and Clover,1968,Sex,http://open.spotify.com/track/1vXuYPpkLjn1v06E2EsWQY
Grace Jones,Pull Up to the Bumper,1981,Sex,http://open.spotify.com/track/3nkuemN1DlyHYZCk5eZYLn
Kelis,Milkshake,2003,Sex,http://open.spotify.com/track/2cMTIlktg3M9mXYqCPqw1J
R Kelly,Ignition (Remix),2003,Sex,http://open.spotify.com/track/7uN7snLDoM1WTmMcTxNreb
"My Neck, My Back (Lick It)",Khia,2002,Sex,http://open.spotify.com/track/0XPLAWXQ03Tlk94CltCj9S
Carole King,I Feel the Earth Move,1971,Sex,http://open.spotify.com/track/437fpvkvab2A1kyZWr99u1
Kings of Leon,Sex On Fire,2008,Sex,http://open.spotify.com/track/395C2pn0PdOYPzM4B1jLoO
Kiss,Black Diamond,1974,Sex,http://open.spotify.com/track/6ChyfMvHeIdX7vaNR249AK
Labelle,Lady Marmalade,1974,Sex,http://open.spotify.com/track/3xqe6BzisHN08DOYYqTcsh
JC Lodge,Telephone Love,1988,Sex,http://open.spotify.com/track/3cWpbffv5WFX2g5n99L1th
Kris Kristofferson,Help Me Make It Through the Night,1970,Sex,http://open.spotify.com/track/2Os4SR7qNgb6vKa6cXQSUZ
Led Zeppelin,Whole Lotta Love,1969,Sex,-
Jerry Lee Lewis,Whole Lotta Shakin’ Goin’ On,1957,Sex,http://open.spotify.com/track/3VIQihiCjAPP22iG0z0iJ9
Lil’ Louis,French Kiss,1989,Sex,-
Little Richard,Tutti Frutti,1955,Sex,http://open.spotify.com/track/17nFSc5cJ3AHKt7qsGFtsz
The Lovin’ Spoonful,Darling Be Home Soon,1967,Sex,http://open.spotify.com/track/0WyaWFJqhVdHxK2pY9Xg8U
George Kranz,Din Daa Daa,1984,Party songs,-
Loretta Lynn,You Ain’t Woman Enough,1966,Sex,http://open.spotify.com/track/0HIDHxooesFQ1zAZ3Vahgm
Kirsty MacColl,"Don’t Come the Cowboy With Me, Sonny Jim!",1989,Sex,http://open.spotify.com/track/2K0gFbHUwMJqXNfm7fJnRg
Madonna,Justify My Love,1990,Sex,http://open.spotify.com/track/5pIYRfMMlLw7NXg1ey8bRA
MGMT,Electric Feel,2008,Sex,http://open.spotify.com/track/2eGHyarZyRvUgFI4d3G8GN
George Michael,I Want Your Sex,1987,Sex,http://open.spotify.com/track/4g4UjSFx9QCTt2mqJwr4fW
George Michael,Fastlove,1996,Sex,http://open.spotify.com/track/5y0RtJTOSuy864erUivf0J
Missy Elliott,One Minute Man,2001,Sex,http://open.spotify.com/track/4SZG38k0cKCMrmpu2mPpD2
Missy Elliott,Work It,2002,Sex,http://open.spotify.com/track/5p3WoFtEm7HrRp8lKxKICu
Joni Mitchell,A Case of You,1971,Sex,http://open.spotify.com/track/42kn5anz7d6ykieCG0yIbH
Mr Vegas,Heads High,1998,Sex,http://open.spotify.com/track/4LCmlA4r2kaQ5d5Hld8y26
Naughty by Nature,OPP,1991,Sex,http://open.spotify.com/track/70zkTsvURu74HmCrEja7e4
Me’Shell Ndegeocello,If That’s Your Boyfriend (He Wasn’t Last Night),1993,Sex,http://open.spotify.com/track/1VUtTNkTTkFnlHZnkS8gEf
Randy Newman,You Can Leave Your Hat On,1972,Sex,http://open.spotify.com/track/6g15icndZ6ig2CtKcayHHx
New Order,Bizarre Love Triangle,1986,Sex,http://open.spotify.com/track/3IZYwVzsjbyw4QxbDmR3Sf
Nine Inch Nails,Closer,1994,Sex,http://open.spotify.com/track/5mHiMTaFI51iB533K7qjzG
The Normal,Warm Leatherette,1978,Sex,http://open.spotify.com/track/6LNFfNZ5HL9lDQpB52eGOh
Owen and Leon,I Want My Cock,1965,Sex,-
Kellee Patterson,"I’m Gonna Love You Just a Little More, Baby",1976,Sex,-
Billy Paul,Me and Mrs Jones,1972,Sex,http://open.spotify.com/track/5GYcaVfaFBHe2gzA6Oybgj
Peaches,Fuck the Pain Away,2000,Sex,http://open.spotify.com/track/1XHFob24QklIXtLRopKirJ
Pixies,Gigantic,1988,Sex,http://open.spotify.com/track/2WajMsuB3N7cv5SF12NJeX
The Police,Roxanne,1978,Sex,http://open.spotify.com/track/4pe9XMdCpgblon0CrB9jtm
Prince,If I Was Your Girlfriend,1987,Sex,http://open.spotify.com/track/6K3bHdKpYnFsWf0TpoEm1E
Prince,Little Red Corvette,1983,Sex,http://open.spotify.com/track/5sjTUwMJeAzGSCmpYJzgd4
Prince and the Revolution,Darling Nikki,1984,Sex,http://open.spotify.com/track/7bBT7pJXCyH5i7Y3AaiUNW
Prince and the Revolution,Kiss,1986,Sex,http://open.spotify.com/track/1XoOSVy4rHDyd6u8XbZ0s5
Jamie Principle,Baby Wants to Ride,1987,Sex,-
Pulp,Babies,1992,Sex,http://open.spotify.com/track/2g958u66qASAxbzoO5Vva3
Pulp,Do You Remember the First Time?,1994,Sex,http://open.spotify.com/track/3rhITD3Q7qlOMCebBTHL8N
Pulp,Sheffield: Sex City,1992,Sex,http://open.spotify.com/track/75DYVxFFKJ9sHiGlVB3vT9
Martha and the Vandellas,(Love Is Like a) Heat Wave,1963,Sex,http://open.spotify.com/track/1qCbiWAHRybIDOfdkzOK7e
Rhythim Is Rhythim,Nude Photo,1987,Sex,-
Minnie Riperton,Inside My Love,1975,Sex,http://open.spotify.com/track/3oxLJ747VFQTlAdrVMpznH
The Rolling Stones,Honky Tonk Women,1969,Sex,http://open.spotify.com/track/0KoKNKBkQaAulzTJ5WLV6I
